Ibat,SOC,Ubat,,,,
0,4.95874722222227,22.79,,,,
-0.01,4.95874444444449,22.8,,,,
-0.01,4.95874166666671,22.78,,,,
-0.01,4.95873888888893,22.8,,,,
-0.01,4.95873611111116,22.8,,,,
0,4.95873611111116,22.8,,,,
-0.01,4.95873333333338,22.8,,,,
-0.01,4.9587305555556,22.8,,,,
-0.01,4.95872777777782,22.8,,,,
-0.01,4.95872500000005,22.8,,,,
0,4.95872500000005,22.8,,,,
0,4.95872500000005,22.81,,,,
-0.01,4.95872222222227,22.8,,,,
0,4.95872222222227,22.81,,,,
-0.01,4.95871944444449,22.8,,,,
-0.01,4.95871666666671,22.78,,,,
-0.01,4.95871388888894,22.78,,,,
-0.01,4.95871111111116,22.8,,,,
-0.01,4.95870833333338,22.78,,,,
0,4.95870833333338,22.81,,,,
-0.01,4.9587055555556,22.8,,,,
-0.01,4.95870277777783,22.8,,,,
-0.01,4.95870000000005,22.8,,,,
-0.01,4.95869722222227,22.8,,,,
0,4.95869722222227,22.81,,,,
-0.01,4.95869444444449,22.8,,,,
0,4.95869444444449,22.79,,,,
0,4.95869444444449,22.81,,,,
-0.01,4.95869166666672,22.8,,,,
-0.01,4.95868888888894,22.8,,,,
-0.01,4.95868611111116,22.8,,,,
-0.01,4.95868333333338,22.8,,,,
-0.01,4.9586805555556,22.8,,,,
-0.01,4.95867777777783,22.8,,,,
-0.01,4.95867500000005,22.8,,,,
-0.01,4.95867222222227,22.8,,,,
-0.01,4.95866944444449,22.8,,,,
-0.01,4.95866666666672,22.8,,,,
-0.01,4.95866388888894,22.78,,,,
-0.01,4.95866111111116,22.8,,,,
-0.01,4.95865833333338,22.78,,,,
0,4.95865833333338,22.81,,,,
-0.01,4.95865555555561,22.8,,,,
-0.01,4.95865277777783,22.78,,,,
0,4.95865277777783,22.81,,,,
-0.01,4.95865000000005,22.78,,,,
-0.01,4.95864722222227,22.8,,,,
-0.01,4.9586444444445,22.8,,,,
-0.01,4.95864166666672,22.8,,,,
-0.01,4.95863888888894,22.8,,,,
0,4.95863888888894,22.8,,,,
-0.01,4.95863611111116,22.8,,,,
0,4.95863611111116,22.8,,,,
-0.01,4.95863333333339,22.78,,,,
-0.01,4.95863055555561,22.78,,,,
-0.01,4.95862777777783,22.8,,,,
-0.01,4.95862500000005,22.8,,,,
0,4.95862500000005,22.8,,,,
0.01,4.95862777777783,22.81,,,,
-0.01,4.95862500000005,22.8,,,,
-0.01,4.95862222222228,22.78,,,,
0,4.95862222222228,22.8,,,,
0,4.95862222222228,22.8,,,,
0,4.95862222222228,22.78,,,,
0.01,4.95862500000005,22.79,,,,
0,4.95862500000005,22.8,,,,
0.01,4.95862777777783,22.81,,,,
0.01,4.95863055555561,22.79,,,,
0,4.95863055555561,22.79,,,,
-0.01,4.95862777777783,22.8,,,,
0,4.95862777777783,22.78,,,,
0,4.95862777777783,22.8,,,,
0.01,4.95863055555561,22.79,,,,
