N,Time_N,Iout,Ibat,I3,Uout,Ubat,U3,Tcase,Error,State,Message,Flag,Manual,Trim,Relay,Input,Ndigits_AB,Tdigits_AB,N_KAN,Reg_1000_n,Uout_n,Iout_n,Mode_n,Uset_n,Iset_n,Uab_n,Uac_n,Ubc_n,T_n,Work_KAN,F_CAP_SUM_KIP,T_KKM1_HAWK,T_KKM2_HAWK,T_CASE_HAWK,T_AIR_HAWK,RELAY_STATE
81,2023-06-04T13:24:02.630Z,0,0,0,0,22.63,-0.01,2300,Ошибок нет!,RELAX_40s,Разбаланс батареи,On,Avto,14,112,60,1,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
82,2023-06-04T13:24:03.633Z,0,-0.01,0,0,22.65,-0.01,2300,Ошибок нет!,RELAX_40s,Разбаланс батареи,On,Avto,14,112,60,2,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,21,21,23,21.3,1
83,2023-06-04T13:24:04.633Z,0,0,0,0,22.65,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,3,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
84,2023-06-04T13:24:05.633Z,0,-0.01,0,0,22.63,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,4,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,21,22,23,21.3,1
85,2023-06-04T13:24:06.683Z,0,0.01,0,0,22.66,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,1,nan,0 - respond,0,0.15,0,Off,29,167,243,0,0,23,1,0,21,21,23,21.3,1
86,2023-06-04T13:24:07.632Z,0,-0.01,0,0,22.65,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,2,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
87,2023-06-04T13:24:08.630Z,0,0,0,0,22.63,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,3,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
88,2023-06-04T13:24:09.628Z,0,0,0,0,22.65,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,4,nan,0 - respond,0,0.15,0,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
89,2023-06-04T13:24:10.630Z,0,0,0,0,22.65,-0.01,2300,Ошибок нет!,RELAX_40s,Разбаланс батареи,On,Avto,14,112,60,1,nan,0 - respond,0,0.15,0,Off,29,167,244,0,0,23,1,0,21,21,23,21.3,1
90,2023-06-04T13:24:11.630Z,0,0,0,0,22.66,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,2,nan,0 - respond,0,0.15,0,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
91,2023-06-04T13:24:12.635Z,0,0,0,0,22.66,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,3,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
92,2023-06-04T13:24:13.633Z,0,0.01,0,0,22.67,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,4,nan,0 - respond,0,0.15,0,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
93,2023-06-04T13:24:14.634Z,0,0,0,0,22.67,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,1,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
