N,I_Real,SOC,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear,squared_Err_non_linear,SOC,,,,,,
155,-0.53,0.998655,25.99,27.8195,26.0161,79.2722,54.8994,-245680,-293384,1.82954,3.3472166116,0.998655,,,,,,
156,-0.59,0.998653,25.98,27.817,26.0135,79.2722,54.9691,-245680,-293382,1.83701,3.3746057401,0.998653,,,,,,
157,-0.53,0.998651,26,27.8195,26.016,79.2721,54.8297,-245557,-293260,1.8195,3.31058025,0.998651,,,,,,
158,-0.59,0.998648,25.98,27.817,26.0135,79.2721,54.9691,-245679,-293379,1.83697,3.3744587809,0.998648,,,,,,
159,-0.64,0.998646,25.99,27.8149,26.0114,79.2721,54.8994,-245556,-293256,1.82486,3.3301140196,0.998646,,,,,,
160,-92.76,0.998302,24.16,23.9553,22.1511,79.272,68.6599,-245454,-293154,0.204746,0.041920924516,0.998302,,,,,,
161,-92.75,0.997958,23.92,23.9526,22.1479,79.269,70.6186,-57935,-107178,0.0325776,0.00106130002176,0.997958,,,,,,
162,-92.75,0.997614,23.77,23.9495,22.1442,79.2661,71.8615,-57870.4,-107114,0.179486,0.032215224196,0.997614,,,,,,
163,-92.75,0.99727,23.67,23.9464,22.1406,79.2631,72.6981,-57785.4,-107029,0.276392,0.076392537664,0.99727,,,,,,
164,-92.75,0.996927,23.61,23.9433,22.137,79.2601,73.2031,-57700.4,-106944,0.333298,0.111087556804,0.996927,,,,,,
165,-92.75,0.996583,23.58,23.9402,22.1334,79.2572,73.4565,-57615.4,-106860,0.360205,0.129747642025,0.996583,,,,,,
166,-92.7,0.996239,23.57,23.9392,22.1319,79.2542,73.5411,-57530.4,-106775,0.369207,0.136313808849,0.996239,,,,,,
167,-92.7,0.995895,23.54,23.9361,22.1283,79.2512,73.7953,-57547.2,-106791,0.396115,0.156907093225,0.995895,,,,,,
168,-92.7,0.995552,23.54,23.933,22.1247,79.2483,73.7953,-57462.3,-106707,0.393023,0.154467078529,0.995552,,,,,,
169,-92.7,0.995208,23.53,23.9299,22.1211,79.2453,73.8801,-57377.4,-106622,0.399934,0.159947204356,0.995208,,,,,,
170,-92.7,0.994864,23.54,23.9268,22.1175,79.2423,73.7953,-57292.4,-106538,0.386842,0.149646732964,0.994864,,,,,,
171,-92.75,0.994521,23.54,23.9217,22.1117,79.2394,73.7953,-57207.5,-106453,0.381654,0.145659775716,0.994521,,,,,,
172,-92.7,0.994177,23.53,23.9207,22.1102,79.2364,73.8801,-57020.8,-106267,0.390656,0.152612110336,0.994177,,,,,,
173,-92.7,0.993833,23.53,23.9176,22.1066,79.2335,73.8801,-57037.6,-106284,0.387564,0.150205854096,0.993833,,,,,,
174,-92.7,0.993489,23.54,23.9145,22.1029,79.2305,73.7953,-56952.7,-106199,0.374473,0.140230027729,0.993489,,,,,,
175,-92.7,0.993146,23.55,23.9114,22.0993,79.2275,73.7105,-56867.7,-106114,0.361383,0.130597672689,0.993146,,,,,,
176,-92.7,0.992802,23.54,23.9083,22.0956,79.2246,73.7953,-56782.8,-106030,0.368291,0.135638260681,0.992802,,,,,,
177,-92.7,0.992458,23.54,23.9052,22.0919,79.2216,73.7953,-56697.8,-105945,0.365199,0.133370309601,0.992458,,,,,,
178,-92.7,0.992115,23.55,23.9021,22.0883,79.2186,73.7105,-56612.9,-105860,0.352107,0.123979339449,0.992115,,,,,,
179,-92.76,0.991771,23.54,23.8965,22.0821,79.2157,73.7953,-56528,-105776,0.356502,0.127093676004,0.991771,,,,,,
180,-92.7,0.991427,23.56,23.8959,22.0809,79.2127,73.6258,-56320.9,-105570,0.335922,0.112843590084,0.991427,,,,,,
181,-92.7,0.991084,23.55,23.8928,22.0772,79.2097,73.7105,-56358,-105607,0.34283,0.1175324089,0.991084,,,,,,
182,-92.7,0.99074,23.55,23.8897,22.0735,79.2068,73.7105,-56273.1,-105522,0.33974,0.1154232676,0.99074,,,,,,
183,-92.75,0.990396,23.56,23.8846,22.0678,79.2038,73.6258,-56188.2,-105437,0.324552,0.105334000704,0.990396,,,,,,
184,-92.7,0.990052,23.57,23.8836,22.0661,79.2008,73.5411,-56001.4,-105252,0.313554,0.098316110916,0.990052,,,,,,
185,-92.7,0.989709,23.55,23.8805,22.0625,79.1979,73.7105,-56018.3,-105268,0.330463,0.109205794369,0.989709,,,,,,
186,-92.7,0.989365,23.57,23.8774,22.0587,79.1949,73.5411,-55933.3,-105183,0.307371,0.094476931641,0.989365,,,,,,
187,-92.7,0.989021,23.55,23.8743,22.055,79.1919,73.7105,-55848.4,-105099,0.324279,0.105156869841,0.989021,,,,,,
188,-92.7,0.988678,23.57,23.8712,22.0513,79.189,73.5411,-55763.5,-105014,0.301189,0.090714813721,0.988678,,,,,,
189,-92.7,0.988334,23.57,23.8681,22.0476,79.186,73.5411,-55678.5,-104929,0.298097,0.088861821409,0.988334,,,,,,
190,-92.7,0.98799,23.57,23.865,22.0439,79.183,73.5411,-55593.6,-104845,0.295006,0.087028540036,0.98799,,,,,,
191,-92.7,0.987647,23.57,23.8619,22.0402,79.1801,73.5411,-55508.6,-104760,0.291914,0.085213783396,0.987647,,,,,,
192,-92.7,0.987303,23.57,23.8588,22.0364,79.1771,73.5411,-55423.7,-104676,0.288822,0.083418147684,0.987303,,,,,,
193,-92.7,0.986959,23.57,23.8557,22.0327,79.1742,73.5411,-55338.8,-104591,0.28573,0.0816416329,0.986959,,,,,,
194,-92.7,0.986616,23.55,23.8526,22.029,79.1712,73.7105,-55253.8,-104506,0.30264,0.0915909696,0.986616,,,,,,
195,-92.7,0.986272,23.56,23.8495,22.0253,79.1682,73.6258,-55168.9,-104422,0.289548,0.083838044304,0.986272,,,,,,
196,-92.7,0.985928,23.58,23.8465,22.0215,79.1653,73.4565,-55084,-104337,0.266457,0.070999332849,0.985928,,,,,,
197,-92.7,0.985585,23.58,23.8434,22.0178,79.1623,73.4565,-54999,-104252,0.263365,0.069361123225,0.985585,,,,,,
